order_year,order_month,product_category_name_english,payment_type_mode,orders,items,revenue,avg_ticket,delayed_rate,avg_review_score,avg_freight_to_price_ratio
2016,10,watches_gifts,boleto,2,2,698.85,349.425,0.0,4.5,0.27630651407799567
2016,10,watches_gifts,credit_card,3,3,2769.1899999999996,923.0633333333332,0.0,3.6666666666666665,0.03013683967756647
2016,10,,boleto,1,1,30.42,30.42,0.0,5.0,0.9132075471698112
2016,10,,debit_card,1,1,65.5,65.5,0.0,5.0,0.3102620524104821
2016,12,fashion_bags_accessories,credit_card,1,1,19.62,19.62,0.0,5.0,0.8
2017,1,agro_industry_and_commerce,credit_card,2,3,107.76,35.92,0.0,4.333333333333333,0.6334697589813553
2017,1,air_conditioning,boleto,2,3,531.36,177.12,0.0,3.6666666666666665,0.12027374071755859
2017,1,air_conditioning,credit_card,1,1,207.0,207.0,0.0,3.0,0.09523809523809523
2017,1,auto,boleto,4,4,227.45,56.8625,0.0,4.75,0.5997703297331276
2017,1,auto,credit_card,23,27,5206.47,192.83222222222224,0.0,3.185185185185185,0.20106965891550105
2017,1,auto,debit_card,2,2,248.19,124.095,0.0,5.0,0.2127602279968227
2017,1,auto,voucher,1,1,162.10000000000002,162.10000000000002,0.0,5.0,0.12726008344923503
2017,1,baby,boleto,6,9,664.27,73.80777777777777,0.0,4.555555555555555,0.3183131944956054
2017,1,baby,credit_card,26,32,6475.66,202.364375,0.03125,4.645161290322581,0.35534910013409077
2017,1,bed_bath_table,boleto,9,9,820.34,91.14888888888889,0.0,4.333333333333333,0.27381818470393315
2017,1,bed_bath_table,credit_card,35,38,3909.03,102.8692105263158,0.05263157894736842,4.026315789473684,0.23354867215155753
2017,1,bed_bath_table,debit_card,1,1,87.9,87.9,0.0,5.0,0.2575107296137339
2017,1,books_general_interest,boleto,1,1,144.14,144.14,0.0,5.0,0.15321225698055843
2017,1,books_general_interest,credit_card,1,1,127.41000000000001,127.41000000000001,0.0,5.0,0.15932666060054596
2017,1,computers,credit_card,1,1,2217.99,2217.99,0.0,4.0,0.008181855372069873
2017,1,computers_accessories,boleto,9,12,588.61,49.05083333333334,0.0,4.083333333333333,0.37585305028674765
2017,1,computers_accessories,credit_card,14,18,3734.57,207.47611111111112,0.0,4.666666666666667,0.5185258561157302
2017,1,computers_accessories,debit_card,1,1,54.42,54.42,1.0,1.0,0.36390977443609024
2017,1,consoles_games,boleto,5,5,852.05,170.41,0.2,4.0,0.4158021217949508
2017,1,consoles_games,credit_card,16,18,5541.48,307.85999999999996,0.05555555555555555,4.222222222222222,0.13908240655716375
2017,1,construction_tools_construction,credit_card,1,1,335.0,335.0,0.0,1.0,0.08064516129032258
2017,1,cool_stuff,boleto,3,3,473.95,157.98333333333332,0.0,3.6666666666666665,0.14590521434147663
2017,1,cool_stuff,credit_card,29,37,8256.91,223.15972972972972,0.0,3.72972972972973,0.21480837211469972
2017,1,dvds_blu_ray,boleto,1,2,47.8,23.9,0.0,5.0,0.6040268456375839
2017,1,electronics,boleto,3,3,153.38,51.126666666666665,0.3333333333333333,3.3333333333333335,0.6319993733927298
2017,1,electronics,credit_card,7,7,568.74,81.24857142857142,0.0,3.857142857142857,0.37270168603098724
2017,1,electronics,debit_card,1,1,50.31,50.31,0.0,5.0,0.29000000000000004
2017,1,fashio_female_clothing,boleto,1,1,69.45,69.45,0.0,5.0,0.2650273224043716
2017,1,fashio_female_clothing,credit_card,1,1,33.36,33.36,0.0,3.0,0.4892857142857144
2017,1,fashion_bags_accessories,boleto,14,15,600.47,40.031333333333336,0.0,4.384615384615385,0.565440482724879
2017,1,fashion_bags_accessories,credit_card,16,20,1536.14,76.807,0.05,4.35,0.46625405119115726
