categoria,total_pedidos,frete_medio,receita_total
computers,181,48.45,232799.43
home_appliances_2,234,44.54,123917.92
furniture_mattress_and_upholstery,38,42.91,5998.54
kitchen_dining_laundry_garden_furniture,248,42.7,58327.8
furniture_bedroom,95,42.5,24661.01
office_furniture,1273,40.55,342532.65
small_appliances_home_oven_and_coffee,75,36.16,50193.57
furniture_living_room,422,35.72,86884.73
signaling_and_security,140,32.7,28017.05
industry_commerce_and_business,235,29.42,47554.29
